2022/12/19 09:40:52 [warn] 8#8: *1648 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/03/0000000031 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 12:25:53 [warn] 8#8: *1674 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/03/0000000032 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 12:28:37 [warn] 8#8: *1681 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/03/0000000033 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 12:34:46 [warn] 8#8: *1683 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/03/0000000034 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 12:35:52 [warn] 8#8: *1685 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/03/0000000035 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 12:36:48 [warn] 8#8: *1687 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/03/0000000036 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/19 12:40:16 [warn] 8#8: *1696 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/03/0000000037 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/20 07:17:28 [warn] 8#8: *2204 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/03/0000000038 while reading upstream, client: 172.20.110.99, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/20 10:27:30 [warn] 8#8: *3094 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/03/0000000039 while reading upstream, client: 172.20.110.99, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/22 08:48:40 [warn] 8#8: *4733 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/04/0000000040 while reading upstream, client: 172.20.111.21, server: , request: "POST /api/refresh HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 02:11:10 [warn] 8#8: *5801 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/04/0000000041 while reading upstream, client: 172.20.111.21, server: , request: "POST /api/refresh HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 02:11:56 [warn] 8#8: *5801 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/04/0000000042 while reading upstream, client: 172.20.111.21, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 02:12:00 [warn] 8#8: *5801 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/04/0000000043 while reading upstream, client: 172.20.111.21, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 10:36:57 [warn] 8#8: *6553 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/04/0000000044 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 10:37:29 [warn] 8#8: *6555 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/04/0000000045 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:08:18 [warn] 8#8: *6612 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/04/0000000046 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/getAllSupplierSite HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:24:38 [warn] 8#8: *6617 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/04/0000000047 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/logout HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:26:25 [warn] 8#8: *6623 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/04/0000000048 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/logout HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:28:26 [warn] 8#8: *6633 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/04/0000000049 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:28:45 [warn] 8#8: *6633 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/05/0000000050 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:34:05 [warn] 8#8: *6644 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/05/0000000051 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:34:41 [warn] 8#8: *6646 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/05/0000000052 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
